OBJECTID,TRIP_ID,PICKUPTIME,PICKUPADDRESS,PICKUPLONG,PICKUPLAT
718698,718698,41207.57917,200 Boylston St Boston Ma 02116,-71.068718,42.352403
721195,721195,41201.5125,170 Mount Vernon St Boston Ma 02125,-71.048335,42.320243
723630,723630,41203.54514,Unnamed Road Boston Ma,-71.082495,42.349058
726082,726082,41210.05,Commonwealth Ave @ Beacon St Boston Ma,-71.094257,42.349225
728547,728547,41208.93056,Ayr Rd Boston Ma,-71.148677,42.336557
730961,730961,41210.49583,12 Avery St Boston Ma,-71.063088,42.353162
733468,733468,41202.27778,Stuart St @ Eliot St Boston Ma 02116,-71.067457,42.35086
735949,735949,41210.82847,212 Atlantic Ave Boston Ma 02110,-71.050827,42.359357
738430,738430,41209.80833,80 Winter St Boston Ma 02108,-71.062105,42.35619
740901,740901,41212.88264,30 Park Plz Boston Ma 02116,-71.069598,42.35128
743392,743392,41210.1,190 Huntington Ave Boston Ma,-71.082207,42.344982
745826,745826,41213.71528,40 Pemberton Sq Boston Ma 02108,-71.060553,42.358438
748288,748288,41210.71875,Unnamed Road Boston Ma,-71.022617,42.365375
750743,750743,41207.07014,60 Boylston Sq Boston Ma 02116,-71.062953,42.352012
753286,753286,41212.27778,278 Clarendon St Boston Ma 02116,-71.076718,42.353778
755701,755701,41212.79583,High St Boston Ma,-71.052882,42.3562
758070,758070,41210.75625,Huntington Ave @ I-90 Boston Ma 02115,-71.078022,42.348763
760457,760457,41213.73958,60 Lansdowne St Boston Ma 02215,-71.097043,42.347425
762978,762978,41208.42431,Avenue Of The Arts Boston Ma,-71.086418,42.341633
765421,765421,41208.625,Unnamed Road Boston Ma,-71.019165,42.362262
767832,767832,41208.98125,60 Lansdowne St Boston Ma 02215,-71.096985,42.34724
770325,770325,41205.89861,149 Dartmouth St Boston Ma 02116,-71.076022,42.347607
772846,772846,41202.82847,630 Atlantic Ave Boston Ma 02210,-71.055375,42.35269
775296,775296,41206.68889,130 St James Ave Boston Ma 02116,-71.076,42.349475
777791,777791,41210.09583,290 W Broadway Boston Ma 02127,-71.050925,42.338975
780433,780433,41207.46736,87 Massachusetts Ave Boston Ma 02115,-71.088692,42.348778
782887,782887,41209.87917,360 Newbury St Boston Ma 02116,-71.087818,42.348003
785378,785378,41211.51111,156 Berkeley St Boston Ma 02116,-71.07228,42.349198
787904,787904,41211.68819,Unnamed Road Boston Ma,-71.06859,42.362495
790327,790327,41208.6625,470 W Broadway Boston Ma 02127,-71.046265,42.33591
792773,792773,41208.90208,770 Atlantic Ave Boston Ma 02111,-71.056667,42.350077
795206,795206,41205.68542,89 State St Boston Ma 02109,-71.055343,42.358898
797631,797631,41206.01042,740 Boylston St Boston Ma 02116,-71.080787,42.349262
800141,800141,41209.92708,Unnamed Road Boston Ma,-71.022517,42.365463
802692,802692,41210.53056,13 Beacon St Boston Ma 02108,-71.062303,42.358333
